CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9561493,2,1,3,F,57,4,0,P,A,0,VENTURA,"SANTA PAULA",2022
9561493,3,1,3,M,9,3,0,P,A,0,VENTURA,"SANTA PAULA",2022
9742296,2,1,4,M,29,3,-,P,V,1,VENTURA,OXNARD,2024
9754710,1,1,4,M,20,4,1,P,-,0,VENTURA,OXNARD,2024
84911745,2,1,3,F,68,7,9,-,P,-,VENTURA,"SIMI VALLEY",2025
8910810,1,1,3,M,37,1,9,-,-,3,VENTURA,VENTURA,2020
9159282,2,1,3,M,74,3,-,-,Z,-,VENTURA,"THOUSAND OAKS",2020
82236323,2,1,3,M,15,6,9,-,P,-,VENTURA,"THOUSAND OAKS",2023
84748778,2,1,4,M,13,6,9,-,-,0,VENTURA,FILLMORE,2025
91468948,1,1,5,M,21,7,1,-,V,1,VENTURA,UNINCORPORATED,2021
92388222,1,1,4,M,39,6,0,P,P,2,VENTURA,UNINCORPORATED,2024
9355612,2,1,3,M,74,4,-,-,A,-,VENTURA,"SANTA PAULA",2021
9616582,2,1,4,F,53,7,1,P,W,1,VENTURA,VENTURA,2023
9710612,2,1,3,F,73,6,0,-,-,0,VENTURA,VENTURA,2024
9114158,1,1,4,M,61,2,1,-,-,1,VENTURA,"THOUSAND OAKS",2020
9421972,2,1,4,M,62,6,1,P,-,1,VENTURA,VENTURA,2022
9450314,2,1,3,M,15,6,-,-,-,0,VENTURA,VENTURA,2022
9577269,1,1,4,M,39,6,1,P,X,0,VENTURA,VENTURA,2023
9707088,2,1,4,M,14,3,-,P,V,0,VENTURA,OXNARD,2024
9877101,2,1,3,M,27,3,-,P,-,-,VENTURA,OXNARD,2025
81381801,1,1,3,M,37,5,9,-,G,-,VENTURA,"SIMI VALLEY",2020
81381872,1,1,4,F,28,7,9,-,-,0,VENTURA,"SIMI VALLEY",2020
81381969,2,1,3,F,39,7,9,-,-,-,VENTURA,"SIMI VALLEY",2020
81382252,2,1,3,M,22,7,9,-,P,-,VENTURA,"SIMI VALLEY",2020
81476993,1,1,4,M,30,7,9,-,P,1,VENTURA,"SIMI VALLEY",2021
81547462,2,1,3,-,62,6,9,-,P,-,VENTURA,"THOUSAND OAKS",2021
81577398,2,1,4,-,17,6,1,-,-,2,VENTURA,CAMARILLO,2021
81630001,1,1,4,-,14,6,1,-,W,0,VENTURA,CAMARILLO,2021
81672277,1,1,4,M,65,5,9,-,W,1,VENTURA,"SIMI VALLEY",2021
81706467,1,1,4,-,17,5,1,-,W,1,VENTURA,"THOUSAND OAKS",2022
81717237,2,1,3,-,20,7,9,-,P,0,VENTURA,MOORPARK,2022
81717273,2,1,4,-,78,7,1,-,P,1,VENTURA,MOORPARK,2022
81728569,1,1,4,-,8,6,9,-,-,0,VENTURA,CAMARILLO,2022
81810806,1,1,4,M,42,6,1,-,P,0,VENTURA,"SIMI VALLEY",2022
81836831,2,1,3,M,27,7,9,-,-,-,VENTURA,"SIMI VALLEY",2022
81847217,2,1,3,M,22,6,9,-,-,-,VENTURA,"SIMI VALLEY",2022
81859448,2,1,4,M,42,7,1,-,P,1,VENTURA,"SIMI VALLEY",2022
81874073,1,1,4,-,22,5,1,-,V,1,VENTURA,"THOUSAND OAKS",2022
81874073,2,1,1,-,68,6,1,M,G,0,VENTURA,"THOUSAND OAKS",2022
82027590,2,1,3,M,11,6,9,-,-,-,VENTURA,"SIMI VALLEY",2023
82088727,1,1,3,M,32,5,9,-,P,-,VENTURA,"SIMI VALLEY",2023
82127088,1,1,4,M,60,6,1,-,-,1,VENTURA,"SIMI VALLEY",2023
82135927,1,1,4,M,31,6,1,-,-,1,VENTURA,"THOUSAND OAKS",2023
82189863,2,1,3,M,16,6,9,-,P,-,VENTURA,FILLMORE,2023
82221024,2,1,3,F,40,7,9,-,P,-,VENTURA,"THOUSAND OAKS",2023
82239961,1,1,4,F,18,6,9,-,P,0,VENTURA,CAMARILLO,2023
82269916,1,1,3,F,44,5,9,-,P,-,VENTURA,"SIMI VALLEY",2023
82297516,2,1,3,M,57,6,9,-,-,-,VENTURA,OJAI,2024
82297516,3,1,3,F,52,7,9,-,-,-,VENTURA,OJAI,2024
82298554,2,1,3,M,65,1,9,-,P,-,VENTURA,"THOUSAND OAKS",2023
82344730,2,1,3,M,75,1,9,-,-,-,VENTURA,VENTURA,2024
82345754,2,1,3,F,89,7,9,-,P,-,VENTURA,OJAI,2024
82372607,1,1,4,M,50,6,1,-,-,1,VENTURA,CAMARILLO,2024
82381991,2,1,4,M,34,6,1,-,-,2,VENTURA,OJAI,2024
82394631,1,1,4,F,17,6,9,-,-,0,VENTURA,CAMARILLO,2024
82417959,1,1,4,M,15,6,1,-,-,1,VENTURA,"SIMI VALLEY",2024
82434701,2,1,4,M,43,6,1,-,-,0,VENTURA,"THOUSAND OAKS",2024
84387565,2,1,4,M,62,7,9,-,-,2,VENTURA,"THOUSAND OAKS",2024
84425593,2,1,3,F,93,6,9,-,P,-,VENTURA,"SIMI VALLEY",2024
84448411,1,1,3,M,85,6,9,-,P,-,VENTURA,"THOUSAND OAKS",2024
84467185,1,1,4,M,14,7,9,-,-,0,VENTURA,OJAI,2024
84467191,1,1,3,M,10,6,9,-,-,-,VENTURA,CAMARILLO,2024
84511108,2,1,3,F,29,6,9,-,P,-,VENTURA,CAMARILLO,2024
84522378,1,1,4,M,61,5,9,-,-,1,VENTURA,"SIMI VALLEY",2024
84579351,2,1,3,M,78,6,9,-,P,-,VENTURA,CAMARILLO,2025
84579351,3,1,3,F,69,7,9,-,P,-,VENTURA,CAMARILLO,2025
84651193,1,1,4,M,15,7,1,-,-,2,VENTURA,CAMARILLO,2025
84679705,1,1,4,M,17,6,1,-,-,1,VENTURA,"SIMI VALLEY",2025
84860956,2,1,4,M,69,6,1,-,A,0,VENTURA,OJAI,2025
84925336,1,1,3,M,33,6,9,-,P,-,VENTURA,"SIMI VALLEY",2025
84977024,1,1,4,M,16,6,1,-,-,1,VENTURA,"THOUSAND OAKS",2025
85074904,2,1,3,F,44,6,9,-,P,-,VENTURA,CAMARILLO,2026
85086512,2,1,4,M,14,6,1,-,-,1,VENTURA,FILLMORE,2026
85094902,1,1,1,M,15,6,1,P,-,0,VENTURA,MOORPARK,2026
85106976,1,1,4,M,20,6,9,-,-,1,VENTURA,"THOUSAND OAKS",2026
85134012,2,1,3,M,38,7,9,-,-,-,VENTURA,OXNARD,2026
8911276,1,1,3,F,56,1,-,-,-,-,VENTURA,VENTURA,2020
9055958,1,1,4,M,52,3,9,-,-,3,VENTURA,VENTURA,2020
9079380,2,1,3,F,19,4,-,P,-,0,VENTURA,OXNARD,2020
9095237,1,1,4,M,52,3,-,-,P,1,VENTURA,CAMARILLO,2020
9095237,2,1,4,M,29,3,-,-,P,1,VENTURA,CAMARILLO,2020
9098735,1,1,4,M,18,4,-,P,-,3,VENTURA,OXNARD,2020
91193078,2,1,3,M,24,6,9,-,P,0,VENTURA,UNINCORPORATED,2020
91238283,1,1,4,F,24,7,1,-,V,1,VENTURA,UNINCORPORATED,2020
91238283,2,1,4,M,25,7,1,-,V,1,VENTURA,UNINCORPORATED,2020
9124351,2,1,4,M,50,6,-,P,-,1,VENTURA,VENTURA,2020
9124409,2,1,3,M,77,3,-,P,-,0,VENTURA,OXNARD,2020
9132371,2,1,4,F,23,6,-,P,N,0,VENTURA,VENTURA,2020
91355992,1,1,4,M,58,7,1,-,W,0,VENTURA,UNINCORPORATED,2020
91366542,2,1,4,F,73,5,1,-,V,1,VENTURA,UNINCORPORATED,2020
91367948,1,1,1,M,67,5,1,P,W,1,VENTURA,UNINCORPORATED,2020
91367948,2,1,3,M,15,6,0,-,-,-,VENTURA,UNINCORPORATED,2020
91378254,2,1,4,F,54,6,1,-,W,1,VENTURA,UNINCORPORATED,2020
91514758,2,1,4,M,70,5,1,P,W,1,VENTURA,UNINCORPORATED,2021
9158900,1,1,4,F,17,3,1,-,A,1,VENTURA,MOORPARK,2020
91635867,2,1,4,M,45,6,0,P,P,2,VENTURA,UNINCORPORATED,2021
9166190,2,1,3,F,45,6,-,-,-,-,VENTURA,VENTURA,2020
91678419,2,1,4,M,79,6,0,P,P,0,VENTURA,UNINCORPORATED,2022
9170480,2,1,4,F,59,3,1,P,-,1,VENTURA,VENTURA,2020
91712458,2,1,3,F,42,7,0,-,P,0,VENTURA,"THOUSAND OAKS",2022
9177224,2,1,4,M,13,6,1,P,-,1,VENTURA,VENTURA,2020
91789108,1,1,4,M,45,6,0,P,V,1,VENTURA,UNINCORPORATED,2022
9182135,2,1,3,F,71,2,-,-,-,-,VENTURA,"SIMI VALLEY",2020
9182220,2,1,3,F,57,3,-,-,-,-,VENTURA,OXNARD,2020
9183747,1,1,4,M,34,6,1,P,-,1,VENTURA,VENTURA,2020
9185010,2,1,4,M,75,4,0,P,-,1,VENTURA,"SIMI VALLEY",2020
9185019,1,1,3,M,13,3,-,P,-,-,VENTURA,"THOUSAND OAKS",2020
9189398,2,1,3,M,28,3,-,P,-,0,VENTURA,OXNARD,2020
9192517,2,1,3,M,60,2,-,-,-,-,VENTURA,"THOUSAND OAKS",2020
91943225,1,1,3,M,30,5,9,-,-,-,VENTURA,UNINCORPORATED,2022
9200385,2,1,3,F,41,4,-,P,-,0,VENTURA,OXNARD,2020
92017845,2,1,3,F,68,1,0,P,P,-,VENTURA,UNINCORPORATED,2022
92050251,1,1,5,F,15,6,0,-,X,0,VENTURA,UNINCORPORATED,2023
9207076,2,1,3,M,2,3,-,-,-,-,VENTURA,OXNARD,2020
92146727,1,1,4,X,14,7,0,P,V,1,VENTURA,UNINCORPORATED,2023
92169338,2,1,4,M,69,6,0,P,P,2,VENTURA,UNINCORPORATED,2023
9218342,2,1,4,M,47,6,-,-,-,-,VENTURA,VENTURA,2021
9220651,2,1,3,F,75,2,-,P,-,-,VENTURA,OXNARD,2020
9226233,1,1,4,M,17,2,1,A,-,-,VENTURA,MOORPARK,2021
